Preprocessing,Method,Mean,Std,Note,Result
(a) No preprocessing,Edit Distance,0.9639999999999999,0.03136877428271624,,0.964 +/- 0.031
(a) No preprocessing,DTW,0.978,0.02227105745132008,,0.978 +/- 0.022
(a) No preprocessing,DT,0.825,0.07749193506423749,,0.825 +/- 0.077
(a) No preprocessing,RF,0.9490000000000001,0.045044422518220835,,0.949 +/- 0.045
(a) No preprocessing,LR,0.9550000000000001,0.03721558813185678,,0.955 +/- 0.037
(a) No preprocessing,$1,0.999,0.0030000000000000022,,0.999 +/- 0.003
(b) Standardisation,Edit Distance,0.9720000000000001,0.02227105745132008,,0.972 +/- 0.022
(b) Standardisation,DTW,0.9880000000000001,0.00979795897113272,,0.988 +/- 0.010
(b) Standardisation,DT,0.875,0.049040799340956925,,0.875 +/- 0.049
(b) Standardisation,RF,0.9560000000000001,0.03469870314579493,,0.956 +/- 0.035
(b) Standardisation,LR,0.9560000000000001,0.03693237062523876,,0.956 +/- 0.037
(b) Standardisation,$1,0.9620000000000001,0.013266499161421611,,0.962 +/- 0.013
(c) Std + PCA denoise,Edit Distance,0.9719999999999999,0.019390719429665308,,0.972 +/- 0.019
(c) Std + PCA denoise,DTW,0.9669999999999999,0.012688577540449532,,0.967 +/- 0.013
(c) Std + PCA denoise,DT,0.766,0.07378346698278687,3 PCA EVR values added to DT feature vector,0.766 +/- 0.074
(c) Std + PCA denoise,RF,0.8879999999999999,0.09378699270154683,3 PCA EVR values added to RF feature vector,0.888 +/- 0.094
(c) Std + PCA denoise,LR,0.917,0.06148983655857281,3 PCA EVR values added to LR feature vector,0.917 +/- 0.061
(c) Std + PCA denoise,$1,0.9349999999999999,0.019104973174542766,,0.935 +/- 0.019
