,Edit,DTW,RF,LSTM
Edit,1.0,0.16015625,0.15234375,0.083984375
DTW,0.16015625,1.0,0.607421875,0.009765625
RF,0.15234375,0.607421875,1.0,0.001953125
LSTM,0.083984375,0.009765625,0.001953125,1.0
